"question","answer","measure"
"Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, вкл. температуру поверхности: один датчик показывает температуру плюс млн °, др. — минус пять тыс. °.","Наблюдавшие за появлением Зла боевые корабли Земли не могут получить данные, включая температуру поверхности: один датчик показывает температуру плюс миллион градусов, другой — минус пять тысяч градусов.","measure"
"рук. лаборатории, заглянув в капсулу регенератора, смущается от увиденного и просит подождать ещё минут пять, но през. даёт только двадцать с.","Руководитель лаборатории, заглянув в капсулу регенератора, смущается от увиденного и просит подождать ещё минут пять, но президент даёт только двадцать секунд.","measure"
"Резона́нсом Шу́мана называется явление образования стоячих электромагнитных волн сверхнизких частот (единицы и десятки Гц) между поверхностью Земли и ионосферой.","Резона́нсом Шу́мана называется явление образования стоячих электромагнитных волн сверхнизких частот (единицы и десятки герц) между поверхностью Земли и ионосферой.","measure"
"Каждая молния генерирует электромагнитные волны, которые начинают вращаться вокруг планеты, оказываются в «ловушке» между поверхностью Земли и ионосферой на высоте ок. 96 км.","Каждая молния генерирует электромагнитные волны, которые начинают вращаться вокруг планеты, оказываются в «ловушке» между поверхностью Земли и ионосферой на высоте около 96 километров.","measure"
"Центр села расположен на высоте ок. 50 м над уровнем моря.","Центр села расположен на высоте около 50 метров над уровнем моря.","measure"
"Наивысшей точкой вулканического комплекса является стратовулкан Мерапи, достигающий высоты 2803 м, располож. на юго-восточном склоне кальдеры.","Наивысшей точкой вулканического комплекса является стратовулкан Мерапи, достигающий высоты 2803 метров, расположенный на юго-восточном склоне кальдеры.","measure"
"С 1982 по 1984 г создал б. триптих размером 9,00 х 4,50 м для церкви Сан-Джачинто (Брешиа).","С 1982 по 1984 год создал большой триптих размером 9,00 х 4,50 метра для церкви Сан-Джачинто (Брешиа).","measure"
"Абсолютная выс. — 162 м над уровнем моря.","Абсолютная высота — 162 метра над уровнем моря.","measure"
"Абсолютная выс. — 212 м над уровнем моря.","Абсолютная высота — 212 метров над уровнем моря.","measure"
"Перед посадкой Мазер Рэкхэм готовил китайских военных на новом транспортном самолёте, Гц, в обмен на обучение своим новым изобретениям, буровые сани, которые могут быстро проскочить под землей.","Перед посадкой Мазер Рэкхэм готовил китайских военных на новом транспортном самолёте, ГЕРЦ, в обмен на обучение своим новым изобретениям, буровые сани, которые могут быстро проскочить под землей.","measure"
"Ближайшая ж.-д. станция Саки — примерно в 22 км.","Ближайшая железнодорожная станция Саки — примерно в 22 километрах.","measure"
"30 марта 2013 года Салаи в матче против «Вердера» забил самый быстрый гол в истории Бундеслиги (на 13-й с), играя за команду, к-рый не разводила мяч в начале игры.","30 марта 2013 года Салаи в матче против «Вердера» забил самый быстрый гол в истории Бундеслиги (на 13-й секунде), играя за команду, которая не разводила мяч в начале игры.","measure"
"Средние высоты на территории посёлка составляют 45 м над уровнем моря.","Средние высоты на территории посёлка составляют 45 метров над уровнем моря.","measure"
"Абсолютные высоты в окрестностях достигают 300 м над уровнем моря.","Абсолютные высоты в окрестностях достигают 300 метров над уровнем моря.","measure"
"Абсолютная выс. — 586 м над уровнем моря.","Абсолютная высота — 586 метров над уровнем моря.","measure"
"Сегодня по этому методу получают сапфиры массой до 300 кг.","Сегодня по этому методу получают сапфиры массой до 300 килограммов.","measure"
"Новое здание площадью св. 5 тыс. кв. м сможет обслуживать ок. 400 пассажиров в час.","Новое здание площадью свыше 5 тысяч кв. метров сможет обслуживать около 400 пассажиров в час.","measure"
"выс. — 53 м.","Высота — 53 метра.","measure"
"Дольная единица массы г применяется без присоединения приставки.","Дольная единица массы грамм применяется без присоединения приставки.","measure"
"Приставку обычно выбирают таким образом, чтобы число, стоящее перед приставкой, находилось в диапазоне от 0,1 до 1000, однако во многих случаях допускается отход от этого правила; так, в машиностроении принято выражать все линейные размеры на чертежах в мм даже при размерах более 1000 мм.","Приставку обычно выбирают таким образом, чтобы число, стоящее перед приставкой, находилось в диапазоне от 0,1 до 1000, однако во многих случаях допускается отход от этого правила; так, в машиностроении принято выражать все линейные размеры на чертежах в миллиметрах даже при размерах более 1000 мм.","measure"
"С др. стороны, дольную единицу массы — г допускается применять, не присоединяя приставку.","С другой стороны, дольную единицу массы — грамм допускается применять, не присоединяя приставку.","measure"
"Иногда единицу гг (в Италии её разговорное назв. — etto) применяют при измерении массы продуктов питания.","Иногда единицу гектограмм (в Италии её разговорное название — etto) применяют при измерении массы продуктов питания.","measure"
"нм","Нанометр","measure"
"кг","Килограмм","measure"
"Чёрно-белый, 81 минута, 8 частей, 2222 м, широкоэкранный.","Чёрно-белый, 81 минута, 8 частей, 2222 метра, широкоэкранный.","measure"
"На чемпионате мира в Токио в финале показал результат 7,99 м, расположившись в итоговом протоколе соревнований на восьмой строке.","На чемпионате мира в Токио в финале показал результат 7,99 метра, расположившись в итоговом протоколе соревнований на восьмой строке.","measure"
"Абсолютная выс. — 177 м над уровнем моря.","Абсолютная высота — 177 метров над уровнем моря.","measure"
"На дне кратера располагается оз. диаметром 5 м.","На дне кратера располагается озеро диаметром 5 метров.","measure"
"выс. вулкана — ок. 600 м.","Высота вулкана — около 600 метров.","measure"
"Двое «мятежных» епископов были запрещены в священнослужении за подписями первоиерарха, епископа Варфоломея, епископа Владимира и протоиерея Вениамина Жукова, однако, как утверждают члены группы Орлова и Пивоварова, никакого Синода не созывалось и все подписавшиеся находились за тыс. км друг от друга и не могли поставить над документом свои подписи.","Двое «мятежных» епископов были запрещены в священнослужении за подписями первоиерарха, епископа Варфоломея, епископа Владимира и протоиерея Вениамина Жукова, однако, как утверждают члены группы Орлова и Пивоварова, никакого Синода не созывалось и все подписавшиеся находились за тысячи километров друг от друга и не могли поставить над документом свои подписи.","measure"
"Семь раз был обладателем лучшего результата сезона в мире в прыжках в длину (1981—1985, 1988, 1992) и трижды — на дистанции 200 м (1983, 1984, 1987).","Семь раз был обладателем лучшего результата сезона в мире в прыжках в длину (1981—1985, 1988, 1992) и трижды — на дистанции 200 метров (1983, 1984, 1987).","measure"
"Он был длиннее исходного проекта, достигая 159 м; шир. его равнялась 21,5 м, а осадка 8,4 м.","Он был длиннее исходного проекта, достигая 159 метров; ширина его равнялась 21,5 метрам, а осадка 8,4 метрам.","measure"
"гл. пояс из стали, закалённой по методу Круппа, тянулся на всю длину ватерлинии (исключая небольшой участок кормы); его выс. была равна 2,6 м, из которых 1,3 находились под водой, а 2,3 — выше ватерлинии.","Главный пояс из стали, закалённой по методу Круппа, тянулся на всю длину ватерлинии (исключая небольшой участок кормы); его высота была равна 2,6 метрам, из которых 1,3 находились под водой, а 2,3 — выше ватерлинии.","measure"
"Толщина пояса в центре корпуса — между мачтами — составляла 150 мм, в носовой оконечности утоньшаясь до 100 мм и в кормовой — до 75 мм.","Толщина пояса в центре корпуса — между мачтами — составляла 150 миллиметров, в носовой оконечности утоньшаясь до 100 миллиметров и в кормовой — до 75 миллиметров.","measure"
"Крейсер имел две броневые палубы; нижняя, выпуклая, опиралась краями на нижнюю кромку броневого пояса, и имела толщину 40 мм в центральной части, и 65 мм на скосах.","Крейсер имел две броневые палубы; нижняя, выпуклая, опиралась краями на нижнюю кромку броневого пояса, и имела толщину 40 миллиметров в центральной части, и 65 миллиметров на скосах.","measure"
"Поверх неё, опираясь на верхнюю кромку броневого пояса, располагалась плоска верхняя палуба толщиной в 35 мм.","Поверх неё, опираясь на верхнюю кромку броневого пояса, располагалась плоска верхняя палуба толщиной в 35 миллиметров.","measure"
"Броневые башни 194-мм орудий были защищены броней толщиной 200 мм; барбеты и основания башен бронировались 100—180 мм плитами.","Броневые башни 194-мм орудий были защищены броней толщиной 200 миллиметров; барбеты и основания башен бронировались 100—180 мм плитами.","measure"
"Исток Рура находится на высоте 660 м над уровнем моря в Национальном парке Высокий Фенн, расположенном на возвышенности Высокий Фенн (Hautes Fagnes) в Бельгии.","Исток Рура находится на высоте 660 метров над уровнем моря в Национальном парке Высокий Фенн, расположенном на возвышенности Высокий Фенн (Hautes Fagnes) в Бельгии.","measure"
"Благодаря череде удачных выступлений удостоился права защищать честь страны на летних Олимпийских играх в Токио — в программе барьерного бега на 400 м выбыл из борьбы за медали на стадии полуфиналов, показав в своём забеге результат 52,2.","Благодаря череде удачных выступлений удостоился права защищать честь страны на летних Олимпийских играх в Токио — в программе барьерного бега на 400 метров выбыл из борьбы за медали на стадии полуфиналов, показав в своём забеге результат 52,2.","measure"
"На чемпионате СССР 1969 года в Киеве в барьерном беге на 400 м взял бронзу.","На чемпионате СССР 1969 года в Киеве в барьерном беге на 400 метров взял бронзу.","measure"
"Абсолютная выс. — 167 м над уровнем моря.","Абсолютная высота — 167 метров над уровнем моря.","measure"
"Находится в примерно в 22 км по прямой на з. от районного центра села Ирбейское.","Находится в примерно в 22 километрах по прямой на запад от районного центра села Ирбейское.","measure"
"Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть °.","Управляемый гонщиком элемент переднего антикрыла, угол атаки которого может изменяться на шесть градусов.","measure"
"Кроме того, на последовавшем чемпионате мира в Милане трижды поднимался на пьедестал почёта: в зачёте четырёхместных каноэ получил бронзу на дистанции 200 м, а также серебро на дистанциях 500 и 1000 м.","Кроме того, на последовавшем чемпионате мира в Милане трижды поднимался на пьедестал почёта: в зачёте четырёхместных каноэ получил бронзу на дистанции 200 метров, а также серебро на дистанциях 500 и 1000 метров.","measure"
"Так, в 2001 г он добился звания двукратного чемпиона Европы на европейском первенстве в Милане, одержав победу в двойках на пятистах и тысяче м.","Так, в 2001 году он добился звания двукратного чемпиона Европы на европейском первенстве в Милане, одержав победу в двойках на пятистах и тысяче метрах.","measure"
"г спустя на европейском первенстве в венгерском Сегеде взял серебро в четвёрках на км.","Год спустя на европейском первенстве в венгерском Сегеде взял серебро в четвёрках на километре.","measure"
"На мировом первенстве в Севилье добавил в послужной список бронзу в четвёрках на дистанции 200 м и золото в четвёрках на дистанции 500 м.","На мировом первенстве в Севилье добавил в послужной список бронзу в четвёрках на дистанции 200 метров и золото в четвёрках на дистанции 500 метров.","measure"
"Впервые описанное немецкими археологами в 1913 г, это высеченное в камне изображение находится в Гобо Дура (Гобедра) в двух км западнее города Аксум (Эфиопия).","Впервые описанное немецкими археологами в 1913 году, это высеченное в камне изображение находится в Гобо Дура (Гобедра) в двух километрах западнее города Аксум (Эфиопия).","measure"
"Самый быстрый гол: на 14-й с — Александр Кожемяченко, против «Карпат-2», 2005/06, 28 мая 2006 года","Самый быстрый гол: на 14-й секунде — Александр Кожемяченко, против «Карпат-2», 2005/06, 28 мая 2006 года","measure"
"Расположено на высоте 42 м над уровнем моря, у югу от реки Ардас, правого притока реки Марица (Эврос).","Расположено на высоте 42 метра над уровнем моря, у югу от реки Ардас, правого притока реки Марица (Эврос).","measure"
"Абсолютная выс. — 304 м над уровнем моря.","Абсолютная высота — 304 метра над уровнем моря.","measure"
"Абсолютная выс. — 626 м над уровнем моря.","Абсолютная высота — 626 метров над уровнем моря.","measure"
"Исключение составляет лишь спортивная ходьба на 50 км не проводимая в рамках Олимпийских игр 1976 года (ИААФ провела чемпионат мира по данной дисциплине в сентябре 1976 года, спортивная ходьба на 50 км вернулась в программу на Олимпийских играх 1980 года).","Исключение составляет лишь спортивная ходьба на 50 километров не проводимая в рамках Олимпийских игр 1976 года (ИААФ провела чемпионат мира по данной дисциплине в сентябре 1976 года, спортивная ходьба на 50 километров вернулась в программу на Олимпийских играх 1980 года).","measure"
"Обычно инкан представляет собой стержень диаметром от 25 до 75 мм.","Обычно инкан представляет собой стержень диаметром от 25 до 75 миллиметров.","measure"
"Монета изготовлена из серебра 925-й пробы тиражом 1500 экз. и весом 155,5 г.","Монета изготовлена из серебра 925-й пробы тиражом 1500 экземпляров и весом 155,5 грамма.","measure"
"Абсолютная выс. — 772 м над уровнем моря.","Абсолютная высота — 772 метра над уровнем моря.","measure"
"Максимальное сближение кораблей составило порядка 30 см.","Максимальное сближение кораблей составило порядка 30 сантиметров.","measure"
"На площади есть многолетние деревья, среди которых выделяется растение, которому больше чем сто лет — Eritrina falcata, чей ствол достигает ок. м в диаметре.","На площади есть многолетние деревья, среди которых выделяется растение, которому больше чем сто лет — Eritrina falcata, чей ствол достигает около метра в диаметре.","measure"
"Абсолютная выс. — 128 м над уровнем моря.","Абсолютная высота — 128 метров над уровнем моря.","measure"
"Годовое кол-во атмосферных осадков составляет 641 мм, из которых большая ч. (ок. 70 %) выпадает в тёплый период.","Годовое количество атмосферных осадков составляет 641 миллиметр, из которых большая часть (около 70 %) выпадает в тёплый период.","measure"
"Впервые прислали своих делегатов на крупнейший спортивный форум мира Албания, Верхняя В, Габон, Дагомея, Корейская Народно-демокр. респ. (её представители стартовали до этого на зимних Олимпийских играх 1964 и 1972 годов), Лесото, Малави, Саудовская Аравия, Свазиленд, Сомали и Того.","Впервые прислали своих делегатов на крупнейший спортивный форум мира Албания, Верхняя Вольта, Габон, Дагомея, Корейская Народно-Демократическая Республика (её представители стартовали до этого на зимних Олимпийских играх 1964 и 1972 годов), Лесото, Малави, Саудовская Аравия, Свазиленд, Сомали и Того.","measure"
"Он победил на дистанциях 100 и 200 м вольным стилем, 100 и 200 м баттерфляем и в трёх эстафетах: 4×100 м и 4×200 м вольным стилем и в комбинированной — 4×100 м причём во всех стартах были установлены мировые рекорды.","Он победил на дистанциях 100 и 200 метров вольным стилем, 100 и 200 метров баттерфляем и в трёх эстафетах: 4×100 метров и 4×200 метров вольным стилем и в комбинированной — 4×100 метров причём во всех стартах были установлены мировые рекорды.","measure"
"Две золотые медали завоевал фин. легкоатлет Лассе Вирен в беге на 5000 и 10 000 м.","Две золотые медали завоевал финский легкоатлет Лассе Вирен в беге на 5000 и 10 000 метров.","measure"
"Причём в беге на 10 000 м Вирен на половине дистанции упал, поднялся и смог финишировать первым, установив мир. рекорд — 27 мин 38,4 сек","Причём в беге на 10 000 метров Вирен на половине дистанции упал, поднялся и смог финишировать первым, установив мировой рекорд — 27 мин 38,4 сек","measure"
"Жуки длиной от двух до шести мм.","Жуки длиной от двух до шести миллиметров.","measure"
"После деревень Мале-Пияце и Велебит он поворачивает на в. севернее деревни Трешньевац и впадает в реку Тиса ок. Адоряна на высоте в 76 м.","После деревень Мале-Пияце и Велебит он поворачивает на восток севернее деревни Трешньевац и впадает в реку Тиса около Адоряна на высоте в 76 метров.","measure"
"ГЭС Ломаум — гидроэлектростанция в центральной части западной Анголы, в сотне км восточнее Бенгелы.","ГЭС Ломаум — гидроэлектростанция в центральной части западной Анголы, в сотне километров восточнее Бенгелы.","measure"
"Абсолютная выс. — 122 м над уровнем моря.","Абсолютная высота — 122 метра над уровнем моря.","measure"
"На это отводится 30 с.","На это отводится 30 секунд.","measure"
"Абсолютная выс. — 189 м над уровнем моря.","Абсолютная высота — 189 метров над уровнем моря.","measure"
"выс. местности над уровнем моря — ок. 80 м.","Высота местности над уровнем моря — около 80 метров.","measure"
"с. расположено на высоте 43 м над уровнем моря.","Село расположено на высоте 43 метров над уровнем моря.","measure"
"Хотя оно и имело в потенциале получение намного более реалистичных звуков, каждый семпл занимал много места в памяти, в то время как вся память, полупроводниковая (картриджи), магнитная (дискеты) или любая другая, всё ещё стоила очень дорого, и на счету был каждый кБ.","Хотя оно и имело в потенциале получение намного более реалистичных звуков, каждый семпл занимал много места в памяти, в то время как вся память, полупроводниковая (картриджи), магнитная (дискеты) или любая другая, всё ещё стоила очень дорого, и на счету был каждый килобайт.","measure"
"По данным Бюро переписи населения США статистически обособленная местность Краун-Пойнт имеет общую пл. в 9,32 квадратных км, водных ресурсов в черте населённого пункта не имеется.","По данным Бюро переписи населения США статистически обособленная местность Краун-Пойнт имеет общую площадь в 9,32 квадратных километров, водных ресурсов в черте населённого пункта не имеется.","measure"
"Статистически обособленная местность Краун-Пойнт расположена на высоте 275 м над уровнем моря.","Статистически обособленная местность Краун-Пойнт расположена на высоте 275 метров над уровнем моря.","measure"
"Наделённый божественностью, Росомаха вытащил хрустальный осколок из лба Орды, и тиран быстро постарел и рассыпался в прах за считанные с.","Наделённый божественностью, Росомаха вытащил хрустальный осколок из лба Орды, и тиран быстро постарел и рассыпался в прах за считанные секунды.","measure"
"После этой резни остался только Росомаха и маленький Кл в форме сердца.","После этой резни остался только Росомаха и маленький кулон в форме сердца.","measure"
"Абсолютная выс. — 113 м над уровнем моря.","Абсолютная высота — 113 метров над уровнем моря.","measure"
"Рид отдыхал всего неск. с и решил продолжить бой.","Рид отдыхал всего несколько секунд и решил продолжить бой.","measure"
"За неск. с до конца раунда Тринидад провел атаку, после которой Рид решил опуститься на колено.","За несколько секунд до конца раунда Тринидад провел атаку, после которой Рид решил опуститься на колено.","measure"
"До конца раунда оставалось неск. с и чемпион смог продержаться до гонга.","До конца раунда оставалось несколько секунд и чемпион смог продержаться до гонга.","measure"
"д. расположена в 5 км от Дзержинска, 36 км от Минска и 7 км от железнодорожной станции Койданово.","Деревня расположена в 5 километрах от Дзержинска, 36 километрах от Минска и 7 километрах от железнодорожной станции Койданово.","measure"
"Могила советских военнопленных и мирных жителей, расположена в 1 км южнее деревни.","Могила советских военнопленных и мирных жителей, расположена в 1 километре южнее деревни.","measure"
"Му Шуаншуан (кит. 穆爽爽; род. 7 января 1984) — кит. тяжелоатлетка, выступавшая в весовой категории св. 75 кг.","Му Шуаншуан (кит. 穆爽爽; род. 7 января 1984) — китайская тяжелоатлетка, выступавшая в весовой категории свыше 75 килограммов.","measure"
"На чемпионате мира 2005 года в Дохе Му Шуаншуан завоевала серебряную медаль, подняв в сумме 300 кг (130 + 170).","На чемпионате мира 2005 года в Дохе Му Шуаншуан завоевала серебряную медаль, подняв в сумме 300 килограммов (130 + 170).","measure"
"Пример: Ржевско-Вяземский оборонительный рубеж — комплекс полевых и долговременных оборонительных сооружений и инженерных заграждений, был построен в 250—300 км западнее столицы СССР — Москвы, в июле — сентябре 1941 года, в тылу 1-го оперативного эшелона войск Западного фронта РККА по линии Ржев — Вязьма — Киров, для защиты от войск Третьего рейха.","Пример: Ржевско-Вяземский оборонительный рубеж — комплекс полевых и долговременных оборонительных сооружений и инженерных заграждений, был построен в 250—300 километрах западнее столицы СССР — Москвы, в июле — сентябре 1941 года, в тылу 1-го оперативного эшелона войск Западного фронта РККА по линии Ржев — Вязьма — Киров, для защиты от войск Третьего рейха.","measure"
"Caryomys eva обитает на больших высотах от 2600 до 4000 м над уровнем моря.","Caryomys eva обитает на больших высотах от 2600 до 4000 метров над уровнем моря.","measure"
"Caryomys inez обитает в горных ущельях на высотах от 500 до 2000 м над уровнем моря.","Caryomys inez обитает в горных ущельях на высотах от 500 до 2000 метров над уровнем моря.","measure"
"Абсолютная выс. — 1423 м над уровнем моря.","Абсолютная высота — 1423 метра над уровнем моря.","measure"
"Водоизмещение корабля составляло 153 ласт, дл. — 31,4—31,5 м, шир. — 8,5—8,6 м, а осадка — 2,6 м.","Водоизмещение корабля составляло 153 ласт, длина — 31,4—31,5 метра, ширина — 8,5—8,6 метра, а осадка — 2,6 метра.","measure"
"43-этажный «Микон тауэр» (107 м)","43-этажный «Микон тауэр» (107 метров)","measure"
"37-этажный «Сайхинь» (86 м)","37-этажный «Сайхинь» (86 метров)","measure"
"Житель села, Петровський Николай получил 2 года заключения за 2 кг собранных колосков.","Житель села, Петровський Николай получил 2 года заключения за 2 килограмма собранных колосков.","measure"
"Максимальная скорость вращения башни, оснащенной ручным или гидравлическим приводом, составляла 24° в с.","Максимальная скорость вращения башни, оснащенной ручным или гидравлическим приводом, составляла 24° в секунду.","measure"
